Date,Bitcoin,Tether,Litecoin,Ardor,Ethereum,Lisk,Monero,Dash,Stratis,Waves,Bytecoin,BitShares,NEO,Zcash,NEM,Stellar,Ripple,Equities,Commodities,Gold,REIT
6/09/2017,4.604810033,1.01,17.76274945,14.61836414,40.92288862,46.32372027,8.706513958,30.91451469,85.93771588,23.31444682,34.96551724,39.5505063,150.5911549,5.096141943,87.77354651,8.200725514,35.51915829,1.091995412,0.95460441,1.033233414,1.035039982
7/09/2017,4.60757465,1,17.40133038,15.29915454,40.32190942,49.78468788,8.649964209,30.62422084,85.24689823,22.50115217,34.12068966,35.23363794,217.0035462,5.102331339,85.28372093,8.099959694,35.11934673,1.091800534,0.953307393,1.045989399,1.041322032
8/09/2017,4.235823826,1.01,15.03104213,13.31576878,36.29130967,45.99093493,8.449534717,29.67141585,78.89137583,20.33236642,29.44827586,27.36379353,175.2666718,4.414895812,78.09331395,7.032245062,33.21576633,1.09017508,0.939688716,1.038814123,1.042800078
9/09/2017,4.233129326,1,14.63636364,12.71608337,36.03427173,45.92437786,8.322834646,28.7747106,79.58219348,20.15163427,30.29310345,27.42677204,154.8212435,4.410769548,77.69302326,6.890366788,32.97660176,1.09017508,0.939688716,1.038814123,1.042800078
10/09/2017,4.129836828,1.01,13.66075388,12.53598112,35.34271726,43.72799457,8.040801718,28.5048976,80.96382879,19.92571909,26.98275862,25.02963695,160.3908602,4.392613988,74.70203488,6.557436518,33.45336055,1.09017508,0.939688716,1.038814123,1.042800078
11/09/2017,4.168230946,1,14.64301552,13.03853716,36.0501836,44.59323647,8.070866142,28.35262689,77.371577,19.65462087,30.46551724,27.95011114,154.2572317,4.30720033,73.26337209,6.849254333,33.67478015,1.101991735,0.940985733,1.007721524,1.051668622
12/09/2017,4.137719992,1.01,14.24168514,12.30800236,35.6744186,46.72306269,8.009305655,29.02671416,76.40443229,19.79016998,30.55172414,29.6883181,147.8415973,4.286569012,72.40523256,6.579604998,32.86793342,1.105698835,0.944228275,1.018085777,1.03947435
13/09/2017,3.889084772,1,13.68736142,11.48525364,33.91799266,43.72799457,7.969219757,26.82902939,69.21992871,17.84729941,26.62068966,27.90911336,141.4259629,4.068908603,67.97238372,6.17815397,31.52920854,1.106535922,0.953955901,1.001343572,1.036887625
14/09/2017,3.16022758,1,9.219512195,8.666142352,26.18237454,29.01888224,5.94416607,21.03650935,52.22581447,13.96155827,20.5862069,18.86391702,110.6168174,3.277903858,47.74825581,4.449012495,25.77999372,1.105317938,0.953955901,1.00692428,1.045386687
15/09/2017,3.64360482,1.01,10.68957871,10.03440818,30.65605875,37.1388447,7.14745884,25.32146037,63.83155102,17.07918779,22.48275862,18.70560632,132.1197679,3.735506499,61.55581395,4.875453446,28.47958543,1.107359722,0.95849546,0.999749004,1.04723433
16/09/2017,3.631103944,1,10.70066519,9.81655525,30.17380661,37.00573056,6.821045097,26.6126447,60.65378983,16.98882172,21.70689655,17.8602124,146.3610663,3.558077161,60.41598837,4.715437324,28.12217337,1.107359722,0.95849546,0.999749004,1.04723433
17/09/2017,3.588873419,1.01,10.75166297,10.39785686,30.81395349,37.07228763,6.710093057,27.94657168,61.34460748,16.44662528,22,17.69054087,140.0159333,3.593563029,59.32180233,4.518339379,28.01397613,1.107359722,0.95849546,0.999749004,1.04723433
18/09/2017,4.07200024,1,12.31263858,11.56085332,35.92411261,44.85946475,7.198997853,29.65271594,74.1938158,19.60943783,24.5862069,22.17115337,149.6041342,3.985145451,72.24302326,5.423216445,29.80025126,1.108971889,0.95849546,0.989384831,1.042061113
